US Core Profile,MS Target 1,MS Target 2,MS Target 3,MS Target 4,MS Target 5,MS Target 6
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Practitioner Profile,US Core Patient Profile,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Practitioner Profile,US Core Practitioner Profile,US Core RelatedPerson Profile,US Core Patient Profile,,,
US Core Encounter Profile,US Core Patient Profile,,,,,
US Core Patient Profile,,,,,,
US Core Organization Profile,US Core Patient Profile,,,,,
US Core Laboratory Result Observation Profile,US Core Practitioner Profile,US Core Encounter Profile,US Core Patient Profile,,,
US Core Practitioner Profile,Media,US Core Organization Profile,US Core Observation Clinical Result Profile,US Core Patient Profile,US Core Laboratory Result Observation Profile,US Core Encounter Profile
US Core Practitioner Profile,US Core Encounter Profile,US Core Patient Profile,,,,
US Core Practitioner Profile,US Core Organization Profile,US Core Patient Profile,US Core Location Profile,US Core Condition Encounter Diagnosis Profile,US Core Condition Problems and Health Concerns Profile,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Location Profile,US Core Encounter Profile,US Core Patient Profile,,,,
US Core Patient Profile,,,,,,
US Core Organization Profile,,,,,,
US Core Medication Profile,US Core Practitioner Profile,US Core Encounter Profile,US Core Patient Profile,,,
US Core Practitioner Profile,US Core ADI DocumentReference Profile,US Core Patient Profile,,,,
US Core Encounter Profile,US Core Patient Profile,,,,,
US Core Specimen Profile,US Core Encounter Profile,US Core Patient Profile,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core QuestionnaireResponse Profile,US Core Observation Screening Assessment Profile,US Core Practitioner Profile,US Core Patient Profile,,,
US Core Patient Profile,,,,,,
,,,,,,
,,,,,,
US Core Location Profile,US Core Practitioner Profile,Endpoint,US Core Organization Profile,,,
US Core Encounter Profile,US Core Patient Profile,,,,,
US Core Organization Profile,Resource,,,,,
US Core Patient Profile,,,,,,
US Core Practitioner Profile,Resource,US Core Patient Profile,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Practitioner Profile,US Core Encounter Profile,US Core Patient Profile,,,,
US Core Practitioner Profile,US Core Patient Profile,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
US Core Patient Profile,,,,,,
